Age,Income,Experience,LoanAmount,InterestRate,CreditHistoryLength,CreditScore,LoanApprovalStatus
24,80145,1,25000,9.91,2,636,Yes
22,80303,0,25000,13.06,3,554,Yes
22,241048,0,9000,6.17,4,587,No
144,241424,121,6000,11.86,2,807,No
25,241005,4,18000,16.32,3,708,No
25,240768,2,12000,10.38,2,669,No
25,241201,2,23050,14.35,3,578,No
24,240920,5,20000,11.01,3,615,No
24,72919,1,25000,11.01,2,553,Yes
21,18008,0,3000,11.01,4,635,Yes
26,81238,3,25000,15.21,2,531,Yes
23,80868,1,25000,7.9,4,621,Yes
24,81537,1,25000,10.99,3,674,Yes
24,82741,0,,14.09,3,688,Yes
25,83901,3,25000,17.49,2,597,Yes
25,240717,1,12000,11.48,3,640,No
22,24092,0,2400,10.59,3,654,No
24,135365,1,21600,7.9,2,556,No
24,24420,2,7000,5.99,4,694,Yes
25,23948,3,3000,11.99,4,587,Yes
24,71718,2,21500,16.89,3,620,Yes
24,84999,0,21500,9.99,3,701,Yes
24,140396,4,21500,15.33,3,572,No
25,73404,4,21450,7.29,4,671,Yes
22,38473,0,21250,12.42,3,599,Yes
25,57546,3,21250,10.99,2,610,Yes
25,62422,4,21250,6.91,2,588,Yes
22,23993,1,5000,14.17,2,691,Yes
22,64732,0,21250,10.25,3,645,Yes
26,23955,2,9250,11.01,2,618,Yes
24,68154,2,21250,15.95,3,672,Yes
24,79138,2,21250,15.95,4,650,Yes
21,42536,0,21000,12.53,4,687,Yes
22,23888,0,1400,14.91,4,535,Yes
23,24013,0,3000,11.01,4,604,Yes
26,48929,6,21000,6.54,4,601,Yes
25,24121,1,1000,11.01,3,612,No
26,51379,5,21000,17.26,4,666,Yes
23,76364,0,21000,11.36,2,645,Yes
26,24297,3,4000,7.51,4,678,Yes
22,71599,0,21000,10.71,3,644,Yes
22,85496,1,21000,13.98,4,614,No
26,79163,3,21000,14.09,3,627,Yes
22,90944,0,21000,10,3,523,No
22,23973,0,5000,15.33,3,571,Yes
25,75181,4,21000,16.32,4,546,Yes
24,95767,2,21000,7.9,2,640,No
23,96788,1,21000,11.99,3,648,No
24,101708,2,21000,10.75,4,593,No
26,103023,4,21000,13.92,3,658,No
22,113027,2,21000,9.91,3,701,No
26,98366,4,21000,16.95,3,702,Yes
26,117668,0,21000,7.9,3,711,No
26,117297,4,21000,11.01,3,570,No
25,120885,4,21000,16.49,3,637,Yes
26,24183,5,7500,11.97,2,621,Yes
21,23664,1,6250,6.17,3,637,Yes
26,150692,7,21000,8.9,2,534,No
25,151100,2,21000,12.99,3,577,No
23,99197,1,20900,12.69,2,638,No
21,24468,0,15000,9.64,2,548,Yes
26,61015,2,20500,7.49,3,676,Yes
23,84845,0,20500,13.16,3,641,No
22,24872,0,2100,8.38,4,630,No
23,65613,0,20375,7.49,2,518,Yes
26,32325,4,20050,9.76,2,652,Yes
24,40881,0,20000,10.99,3,600,Yes
23,24766,0,5000,11.71,4,649,No
22,24995,0,9250,10.65,4,576,No
24,43287,0,20000,12.53,4,600,Yes
25,46375,2,20000,14.59,4,654,Yes
23,39416,0,20000,12.61,4,593,Yes
25,46636,2,20000,13.11,2,614,Yes
23,25168,0,6400,10.65,4,638,No
25,47473,3,20000,11.22,4,633,Yes
23,40632,0,20000,16,2,649,Yes
25,41468,2,20000,8.88,4,591,Yes
24,48897,2,20000,12.53,3,656,Yes
21,44226,0,20000,11.01,2,637,Yes
26,25012,3,4800,5.99,3,682,No
25,51210,4,20000,13.47,4,645,Yes
22,51305,1,20000,6.99,4,602,Yes
25,25295,3,5650,15.99,2,637,No
23,24930,0,3625,11.01,3,662,No
22,45716,0,20000,16.69,3,447,Yes
25,46683,3,20000,11.11,4,636,Yes
22,54870,0,20000,7.9,4,631,Yes
23,55291,3,20000,10.25,2,632,Yes
24,54919,4,20000,11.01,2,670,Yes
23,25141,0,1200,7.49,3,700,No
22,54899,0,20000,13.92,3,650,Yes
24,47903,0,20000,14.74,2,665,Yes
24,56744,0,20000,10.62,2,582,Yes
22,58440,0,20000,10.65,3,656,Yes
22,51628,0,20000,12.99,3,635,Yes
22,58859,1,20000,11.36,4,672,Yes
22,24521,0,7500,5.79,4,612,No
23,60235,4,20000,6.54,4,615,Yes
25,25654,6,4000,5.79,2,725,No
25,61114,1,20000,7.49,3,639,Yes
25,60990,1,20000,13.43,2,691,Yes
22,61072,0,20000,13.22,2,681,Yes
22,25229,1,5000,14.72,3,604,No
22,53980,0,20000,15.68,4,688,Yes
24,61918,2,20000,11.01,3,672,Yes
25,62299,3,20000,11.48,3,680,Yes
